index,drybulb,damp,glohorzrad,difhorzrad,t_sky,t_ground,wind_speed
488,-8.8,0.74,76.18,16.52,227.67,-15.6,2.0
489,-6.73,0.79,130.93,130.93,232.77,-11.08,2.0
490,-4.77,0.79,365.18,79.22,239.58,-5.14,2.0
491,-2.96,0.74,487.1,67.37,246.83,1.24,2.0
492,-1.39,0.66,523.75,113.61,253.36,7.09,2.0
493,-0.11,0.58,520.34,71.97,258.1,11.43,2.0
494,0.8,0.56,435.06,60.17,260.03,13.3,4.0
495,1.2,0.63,301.82,41.74,258.49,12.04,4.0
496,0.78,0.75,149.05,20.61,254.28,8.3,4.0
497,-0.26,0.87,7.82,1.08,248.38,3.08,4.0
498,-1.56,0.96,0.0,0.0,241.81,-2.65,4.0
499,-2.79,1.0,0.0,0.0,235.66,-7.91,4.0
500,-3.6,1.02,0.0,0.0,231.1,-11.7,0.0
501,-3.74,1.03,0.0,0.0,229.05,-13.32,0.0
502,-3.37,1.02,0.0,0.0,229.12,-13.14,0.0
503,-2.73,1.0,0.0,0.0,230.6,-11.79,0.0
504,-2.09,0.95,0.0,0.0,230.96,-9.91,0.0
505,-1.7,0.87,0.0,0.0,233.01,-8.13,0.0
506,-1.8,0.77,0.0,0.0,234.23,-7.1,4.0
507,-2.56,0.66,0.0,0.0,234.15,-7.25,4.0
508,-3.74,0.57,0.0,0.0,233.15,-8.25,4.0
509,-4.99,0.5,0.0,0.0,231.8,-9.56,4.0
510,-5.99,0.46,0.0,0.0,230.67,-10.67,4.0
511,-6.4,0.43,0.0,0.0,230.31,-11.02,4.0
512,-3.8,0.51,83.1,8.34,230.59,-10.1,3.0
513,-1.19,0.59,239.32,24.01,232.97,-7.57,3.0
514,0.04,0.58,390.66,39.19,237.29,-3.9,3.0
515,0.31,0.52,505.55,50.72,242.44,0.26,3.0
516,0.05,0.44,559.21,56.1,247.46,4.24,3.0
517,-0.33,0.37,539.89,54.16,251.41,7.37,3.0
518,-0.4,0.36,451.83,45.33,253.43,9.0,7.0
519,0.06,0.41,314.19,31.52,252.95,8.67,7.0
520,0.4,0.48,156.24,15.67,250.57,6.74,7.0
521,0.14,0.55,10.0,1.0,247.08,3.78,7.0
522,-0.44,0.6,0.0,0.0,243.06,0.38,7.0
523,-1.05,0.64,0.0,0.0,239.14,-2.91,7.0
524,-1.4,0.66,0.0,0.0,235.96,-5.5,4.0
525,-1.4,0.67,0.0,0.0,234.03,-6.98,4.0
526,-1.56,0.65,0.0,0.0,233.29,-7.55,4.0
527,-2.0,0.6,0.0,0.0,233.35,-7.57,4.0
528,-2.66,0.53,0.0,0.0,234.23,-7.4,4.0
529,-3.51,0.46,0.0,0.0,234.44,-7.39,4.0
530,-4.5,0.41,0.0,0.0,234.06,-7.9,7.0
531,-5.58,0.36,0.0,0.0,232.76,-9.15,7.0
532,-6.68,0.33,0.0,0.0,230.94,-10.82,7.0
533,-7.69,0.31,0.0,0.0,229.14,-12.47,7.0
534,-8.52,0.29,0.0,0.0,227.91,-13.63,7.0
535,-9.09,0.28,0.0,0.0,227.82,-13.86,7.0
536,-9.3,0.27,85.52,8.57,229.42,-12.7,4.0
537,-9.5,0.25,242.44,24.3,233.12,-9.89,4.0
538,-9.2,0.24,394.29,39.52,238.05,-5.94,4.0
539,-8.32,0.24,509.51,51.06,243.26,-1.55,4.0
540,-7.13,0.24,563.31,56.46,247.99,2.59,4.0
541,-5.9,0.25,543.95,54.52,251.51,5.77,4.0
542,-4.9,0.27,455.66,45.67,253.09,7.3,7.0
543,-4.35,0.29,317.6,31.83,252.22,6.69,7.0
544,-4.22,0.33,159.04,15.94,249.32,4.32,7.0
545,-4.43,0.37,12.01,1.2,245.08,0.79,7.0
546,-4.89,0.41,0.0,0.0,240.16,-3.3,7.0
547,-5.51,0.44,0.0,0.0,235.26,-7.37,7.0
548,-6.2,0.48,0.0,0.0,231.15,-10.8,2.0
549,-6.9,0.52,0.0,0.0,228.42,-13.16,2.0
550,-7.56,0.55,0.0,0.0,226.9,-14.57,2.0
551,-8.18,0.57,0.0,0.0,226.21,-15.33,2.0
552,-8.74,0.58,0.0,0.0,226.48,-15.72,2.0
553,-9.22,0.58,0.0,0.0,226.3,-16.01,2.0
554,-9.6,0.57,0.0,0.0,225.79,-16.5,0.0
555,-9.87,0.54,0.0,0.0,224.73,-17.35,0.0
556,-10.04,0.51,0.0,0.0,223.48,-18.28,0.0
557,-10.14,0.47,0.0,0.0,222.61,-18.9,0.0
558,-10.19,0.42,0.0,0.0,222.64,-18.81,0.0
559,-10.2,0.38,0.0,0.0,224.14,-17.6,0.0
560,-8.0,0.41,50.53,10.02,226.85,-14.9,2.0
561,-5.55,0.46,248.6,30.76,231.72,-10.5,2.0
562,-3.98,0.48,402.82,49.84,238.24,-5.02,2.0
563,-3.0,0.5,519.76,64.31,245.16,0.71,2.0
564,-2.3,0.51,574.36,71.06,251.36,5.87,2.0
565,-1.57,0.55,554.71,68.63,255.81,9.64,2.0
566,-0.5,0.64,465.12,57.55,257.49,11.2,3.0
567,0.5,0.76,184.36,36.55,255.88,9.99,3.0
568,0.19,0.82,163.87,20.27,251.89,6.58,3.0
569,-0.63,0.85,8.08,1.6,246.24,1.76,3.0
570,-1.76,0.86,0.0,0.0,239.87,-3.62,3.0
571,-3.01,0.85,0.0,0.0,233.74,-8.75,3.0
572,-4.2,0.83,0.0,0.0,228.88,-12.8,2.0
573,-5.17,0.82,0.0,0.0,226.12,-15.17,2.0
574,-5.96,0.81,0.0,0.0,225.16,-16.14,2.0
575,-6.62,0.8,0.0,0.0,225.41,-16.17,2.0
576,-7.22,0.81,0.0,0.0,226.07,-15.75,2.0
577,-7.83,0.82,0.0,0.0,226.85,-15.36,2.0
578,-8.5,0.83,0.0,0.0,226.98,-15.5,0.0
579,-9.28,0.84,0.0,0.0,226.06,-16.46,0.0
580,-10.08,0.84,0.0,0.0,224.58,-17.85,0.0
581,-10.8,0.84,0.0,0.0,223.22,-19.1,0.0
582,-11.31,0.83,0.0,0.0,222.71,-19.64,0.0
583,-11.5,0.81,0.0,0.0,223.75,-18.9,0.0
584,-11.3,0.79,50.78,12.36,227.03,-16.3,1.0
585,-10.1,0.78,268.71,42.72,232.68,-11.54,1.0
586,-7.97,0.78,433.76,68.96,239.75,-5.33,1.0
587,-5.24,0.76,290.22,70.64,247.05,1.33,1.0
588,-2.26,0.69,617.24,98.13,253.49,7.48,1.0
589,0.63,0.57,309.64,75.37,258.01,12.13,1.0
590,3.1,0.42,500.43,79.56,259.58,14.3,0.0
591,4.4,0.36,350.48,55.72,257.81,13.32,0.0
592,3.96,0.4,177.97,28.29,253.69,9.8,0.0
593,2.83,0.53,9.09,2.21,247.89,4.66,0.0
594,1.29,0.68,0.0,0.0,241.29,-1.21,0.0
595,-0.38,0.8,0.0,0.0,234.85,-6.86,0.0
596,-1.9,0.89,0.0,0.0,229.67,-11.4,2.0
597,-3.05,0.96,0.0,0.0,226.65,-14.13,2.0
598,-3.87,1.02,0.0,0.0,225.53,-15.32,2.0
599,-4.48,1.07,0.0,0.0,225.73,-15.44,2.0
600,-4.98,1.12,0.0,0.0,229.57,-14.99,2.0
601,-5.48,1.14,0.0,0.0,230.48,-14.45,2.0
602,-6.1,1.13,0.0,0.0,230.89,-14.3,2.0
603,-6.9,1.1,0.0,0.0,230.4,-14.88,2.0
604,-7.77,1.05,0.0,0.0,229.38,-15.87,2.0
605,-8.58,0.98,0.0,0.0,228.4,-16.81,2.0
606,-9.17,0.93,0.0,0.0,228.01,-17.23,2.0
607,-9.4,0.88,0.0,0.0,228.76,-16.64,2.0
608,-7.5,0.99,72.69,29.72,230.81,-14.6,2.0
609,-5.1,1.11,384.19,109.91,234.87,-10.83,2.0
610,-3.2,1.16,316.42,129.37,240.42,-5.9,2.0
611,-1.7,1.15,239.11,239.11,246.44,-0.59,2.0
612,-0.48,1.11,449.36,183.72,251.98,4.33,2.0
613,0.58,1.1,434.15,177.5,256.14,8.09,2.0
614,1.6,1.14,214.25,214.25,258.05,9.9,3.0
615,2.3,1.26,256.07,104.69,257.2,9.24,3.0
616,1.79,1.37,76.91,76.91,254.28,6.58,3.0
617,0.5,1.44,14.36,5.87,249.99,2.63,3.0
618,-1.25,1.43,0.0,0.0,245.02,-1.89,3.0
